XpL_1-i4xt;Phillip Sheppard;johnh@hotmail.com;0
bqzDvF8+_1;Homer Clements;oevans@att.net;1
!zyB+c4h3K;Paul Hunter;kodeman@yahoo.com;0
+7!VawMn5x;Jess Pickett;fmerges@verizon.net;0
uuG9e_+x1T;Bernard Wilder;mrdvt@yahoo.com;1
hFh+H1v-f3;Vincent Conrad;rtanter@yahoo.com;1
V_floxF00-;Ben Watts;mnemonic@icloud.com;1
k4+Vz-Rhi2;Vincent Murphy;research@comcast.net;0
xgN+3u7Q!x;Herman David;bmcmahon@me.com;0
+a40A!qmvM;Aaron McGowan;yamla@aol.com;0
xaVo_4+Mr8;Rory Neil;vmalik@aol.com;1
w!xGey65-I;Sawyer Baird;mfburgo@yahoo.ca;0
yk!47bdTQ!;Spencer Travis;reeds@msn.com;0
8-lQu-xVp7;Harper Preston;bigmauler@gmail.com;0
J+e+os4K3j;Micah Bryan;carreras@gmail.com;1
bph7Mz-5!H;Lennon Vaughan;jpflip@verizon.net;0
Q+x8-9htvH;Harper Wolf;brainless@outlook.com;0
l6vo!9U!Ie;Justice McDowell;mbswan@outlook.com;0
cNgL3_y!0u;Hayden Blackburn;johnbob@msn.com;0
iK!ck1I8+w;Justice Clark;petersen@yahoo.com;1
lqU5Sk6-!s;Flora Travis;nicktrig@outlook.com;1
+8j7J+hqkF;Laura Gallegos;maradine@outlook.com;0
+5r3o!vIlS;Pearl Greene;unreal@outlook.com;0
N_0uOl-fm7;Addie Pearson;kmself@optonline.net;1
_oB!54Etre;Bess Cleveland;bader@live.com;1
+0w9K_jRss;Lena Hines;miltchev@icloud.com;0
tqx_7B3pQ-;Viola Burnett;panolex@outlook.com;1
!8-Ypev8Wy;Lulu Horn;geekoid@sbcglobal.net;0
ag72U_uM-i;Mathilda Curry;gmcgath@me.com;0
zHs8jqH!0_;Evelyn Hines;dmbkiwi@verizon.net;1
